Christopher Carcaillet,"Ecole Pratique des Hautes Etudes, Paris",ephe.psl.eu,9610,ecology | disturbance ecology | fire ecology | paleoecology | biodiversity,https://scholar.google.com/citations?hl=en&user=kjkZ-BgAAAAJ
Bérengère Guillery-Girard,Ecole Pratique des Hautes Etudes,ephe.psl.eu,3218,Child Neuropsychology,https://scholar.google.com/citations?hl=en&user=VG8Gm90AAAAJ
Jean-Michel Verdier,"École Pratique des Hautes Études, Paris",ephe.psl.eu,3078,Not Mentioned,https://scholar.google.com/citations?hl=en&user=rLMmvwUAAAAJ
Francois De Polignac,Ecole Pratique des Hautes Etudes,ephe.psl.eu,2461,Histoire ancienne,https://scholar.google.com/citations?hl=en&user=PLQNiVQAAAAJ
Sarah Cubaynes,Ecole Pratique des Hautes Etudes - University of Montpellier,ephe.sorbonne.fr,2276,evolutionary demography - conservation …,https://scholar.google.com/citations?hl=en&user=Ca0rRzgAAAAJ
Claudie Doums,"Ecole Pratique des Hautes Etudes, MNHN, France",ephe.sorbonne.fr,2173,Ecologie évolutive,https://scholar.google.com/citations?hl=en&user=wEW-eZYAAAAJ
Pierre de Villemereuil,"Lecturer; École Pratique des Hautes Études; Institute for Systematics, Evolution, Biodiversity",ephe.psl.eu,2093,Genetics of adaptation | Population genomics | Quantitative genetics | Evolutionary Ecology | Biostatistics,https://scholar.google.com/citations?hl=en&user=yKKnZ_4AAAAJ
françois Jouen,Ecole Pratique des Hautes Etudes. EPHE-PSL,ephe.sorbonne.fr,1969,Neurosciences and development,https://scholar.google.com/citations?hl=en&user=ibJwWK8AAAAJ
Stéphane Verger,"Professor of Archaeology, Ecole Pratique des Hautes Etudes; Director of the Museo …",ephe.psl.eu,1782,Archaeology | Ancient History,https://scholar.google.com/citations?hl=en&user=tzI9Wt4AAAAJ
Sophie Thenet,Ecole Pratique des Hautes Etudes,ephe.psl.eu,1277,biologie cellulaire,https://scholar.google.com/citations?hl=en&user=UgmZQC4AAAAJ
Elodie Moreau-Guigon,Ecole Pratique des Hautes Etudes,ephe.psl.eu,1275,Not Mentioned,https://scholar.google.com/citations?hl=en&user=UJY2tTAAAAAJ
Olivier Boulnois,"Directeur d'Etudes, Ecole Pratique des Hautes Etudes",ephe.psl.eu,1160,Métaphysique | Philosophie médiévale,https://scholar.google.com/citations?hl=en&user=Bvg4FKAAAAAJ
Joelle Provasi,Ecole Pratique des Hautes Etudes,ephe.psl.eu,1013,Psychologie du développement,https://scholar.google.com/citations?hl=en&user=vqknrhoAAAAJ
Charles Stépanoff,Ecole pratique des hautes études,ephe.sorbonne.fr,606,Not Mentioned,https://scholar.google.com/citations?hl=en&user=busH8GQAAAAJ
Andrea Acri,"Ecole Pratique des Hautes Etudes (EPHE), PSL University, Paris",ephe.psl.eu,595,Hinduism | Buddhism | Tantra | Old Javanese | Sanskrit,https://scholar.google.com/citations?hl=en&user=4c0IXvwAAAAJ
Jean-Christophe Attias,"École pratique des hautes études, Université PSL",ephe.psl.eu,545,Jewish Studies,https://scholar.google.com/citations?hl=en&user=vJdu0twAAAAJ
Erwan Delrieu-Trottin,Ecole Pratique des Hautes Etudes,ephe.psl.eu,527,Biodiversity | Population genetics | Phylogeny | Conservation | Fishes,https://scholar.google.com/citations?hl=en&user=bwp0yn4AAAAJ
michel hochmann,"directeur d'études, Ecole pratique des Hautes Etudes",ephe.psl.eu,449,histoire de l'art | peinture vénitienne | Renaissance,https://scholar.google.com/citations?hl=en&user=9bSqqLwAAAAJ
Sébastien Couette,Ecole Pratique des Hautes Etudes & Biogéosciences,ephe.sorbonne.fr,321,morphological variation | geometric morphometrics | Primates,https://scholar.google.com/citations?hl=en&user=tzCqB6kAAAAJ
Sylvio De Franceschi,Ecole pratique des hautes études,ephe.psl.eu,284,Histoire,https://scholar.google.com/citations?hl=en&user=en6qES8AAAAJ
Özgür Türesay,Ecole pratique des Hautes études,ephe.sorbonne.fr,249,Ottoman history,https://scholar.google.com/citations?hl=en&user=am_uwYMAAAAJ
Antony HOSTEIN,Ecole Pratique des Hautes Etudes - PSL Université Paris,ephe.sorbonne.fr,210,Antiquité | Rome | Numismatique,https://scholar.google.com/citations?hl=en&user=ufuVbcsAAAAJ
Victor Brun,"Ecole Pratique des Hautes Etudes, UAR 3278 CRIOBE",etu.ephe.fr,168,Social-ecological systems | marine protected areas | fisheries,https://scholar.google.com/citations?hl=en&user=MDh0k3EAAAAJ
Antony Colombo,Ecole Pratique des Hautes Etudes,ephe.psl.eu,119,biological anthropology | paleopathology | bone microarchitecture | micro computed tomography,https://scholar.google.com/citations?hl=en&user=0dpUPT0AAAAJ
Appasamy Murugaiyan,"Ingénieur de recherche, Ecole Pratique des Hautes Etudes, Paris",ephe.sorbonne.fr,100,linguistique tamoule | linguistique historique | épigraphie tamoule | diaspora tamoule francophone,https://scholar.google.com/citations?hl=en&user=IaVvI0QAAAAJ
Nuria Martinez de Castilla / Nuria de Castilla,Ecole Pratique des Hautes Etudes,ephe.psl.eu,98,History of the book | Arabic manuscripts | Codicology and ecdotics | Mudéjares and Moriscos | Islamic West. Al-Andalus and Maghreb,https://scholar.google.com/citations?hl=en&user=0BlsXkoAAAAJ
Rosa Orlacchio,École Pratique des Hautes Études (EPHE) / Laboratoire de l'Intégration du Matériau au …,ephe.sorbonne.fr,52,Bioelectromagnetism Bioelectrics,https://scholar.google.com/citations?hl=en&user=SprTKCMAAAAJ
Guillaume Cathelain,Ecole Pratique des Hautes Etudes - Paris Sciences Lettres University,ephe.psl.eu,23,Signal processing | ballistocardiography,https://scholar.google.com/citations?hl=en&user=zHNySJ0AAAAJ
Diego Giordano,École pratique des hautes études,etu.ephe.fr,17,Filosofia,https://scholar.google.com/citations?hl=en&user=Bgp8fl8AAAAJ
Jérémie Bosom,Ecole Pratique des Hautes Etudes,ephe.sorbonne.fr,7,Computer Science | Machine Learning | Orchestration,https://scholar.google.com/citations?hl=en&user=vnS6OugAAAAJ
Vanessa Juloux,Ecole pratique des hautes études,ephe.sorbonne.fr,5,gender studies | ancient near east | e.philology | data mining | xml-tei,https://scholar.google.com/citations?hl=en&user=85lnAOwAAAAJ
Maryam alSayyed,PhD candidate at Ecole Pratique des Hautes Etudes,etu.ephe.fr,2,Philosophy | Islamic Philosophy | Ethics | Political Theory,https://scholar.google.com/citations?hl=en&user=vgTDICMAAAAJ
Iryna Lystopad,Ecole Pratique des hautes etudes,etu.ephe.fr,1,Not Mentioned,https://scholar.google.com/citations?hl=en&user=eORh8sAAAAAJ
Alberto Bernard,Ecole pratique des hautes études,ephe.sorbonne.fr,1,Ancient Iran | Classics | Roman History | Greek philology,https://scholar.google.com/citations?hl=en&user=Fre9h_8AAAAJ
Sharif Pablo Bujanda Viloria,École Pratique des Hautes Études,etu.ephe.fr,Not Mentioned,historia | historia antigua | historia de las religiones | teologia | medio oriente antiguo,https://scholar.google.com/citations?hl=en&user=-BXEysAAAAAJ
Marie-Véronique Amella,École Pratique des Hautes Études,etu.ephe.fr,Not Mentioned,Ethnologie | anthropologie,https://scholar.google.com/citations?hl=en&user=q6JENssAAAAJ
Baptiste Tochon-Danguy,"LEM - Ecole Pratique des Hautes Etudes, Paris",ephe.sorbonne.fr,Not Mentioned,Métaphysique | Philosophie de l'Art | Renaissance | Michel-Ange | Marsile Ficin,https://scholar.google.com/citations?hl=en&user=6wejFZcAAAAJ
Wojciech Baran,Ecole Pratique des Hautes Etudes,etu.ephe.fr,Not Mentioned,teologia dogmatyczna | antropologia teologiczna | filozofia średniowieczna | teologia średniowieczna | paleografia łacińska,https://scholar.google.com/citations?hl=en&user=IfYcwLkAAAAJ
Christopher Carcaillet,"Ecole Pratique des Hautes Etudes, Paris",ephe.psl.eu,9610,ecology | disturbance ecology | fire ecology | paleoecology | biodiversity,https://scholar.google.com/citations?hl=en&user=kjkZ-BgAAAAJ
Bérengère Guillery-Girard,Ecole Pratique des Hautes Etudes,ephe.psl.eu,3218,Child Neuropsychology,https://scholar.google.com/citations?hl=en&user=VG8Gm90AAAAJ
Jean-Michel Verdier,"École Pratique des Hautes Études, Paris",ephe.psl.eu,3078,Not Mentioned,https://scholar.google.com/citations?hl=en&user=rLMmvwUAAAAJ
Francois De Polignac,Ecole Pratique des Hautes Etudes,ephe.psl.eu,2461,Histoire ancienne,https://scholar.google.com/citations?hl=en&user=PLQNiVQAAAAJ
Sarah Cubaynes,Ecole Pratique des Hautes Etudes - University of Montpellier,ephe.sorbonne.fr,2276,evolutionary demography - conservation …,https://scholar.google.com/citations?hl=en&user=Ca0rRzgAAAAJ
Claudie Doums,"Ecole Pratique des Hautes Etudes, MNHN, France",ephe.sorbonne.fr,2173,Ecologie évolutive,https://scholar.google.com/citations?hl=en&user=wEW-eZYAAAAJ
Pierre de Villemereuil,"Lecturer; École Pratique des Hautes Études; Institute for Systematics, Evolution, Biodiversity",ephe.psl.eu,2093,Genetics of adaptation | Population genomics | Quantitative genetics | Evolutionary Ecology | Biostatistics,https://scholar.google.com/citations?hl=en&user=yKKnZ_4AAAAJ
françois Jouen,Ecole Pratique des Hautes Etudes. EPHE-PSL,ephe.sorbonne.fr,1969,Neurosciences and development,https://scholar.google.com/citations?hl=en&user=ibJwWK8AAAAJ
Stéphane Verger,"Professor of Archaeology, Ecole Pratique des Hautes Etudes; Director of the Museo …",ephe.psl.eu,1782,Archaeology | Ancient History,https://scholar.google.com/citations?hl=en&user=tzI9Wt4AAAAJ
Sophie Thenet,Ecole Pratique des Hautes Etudes,ephe.psl.eu,1277,biologie cellulaire,https://scholar.google.com/citations?hl=en&user=UgmZQC4AAAAJ
Elodie Moreau-Guigon,Ecole Pratique des Hautes Etudes,ephe.psl.eu,1275,Not Mentioned,https://scholar.google.com/citations?hl=en&user=UJY2tTAAAAAJ
Olivier Boulnois,"Directeur d'Etudes, Ecole Pratique des Hautes Etudes",ephe.psl.eu,1160,Métaphysique | Philosophie médiévale,https://scholar.google.com/citations?hl=en&user=Bvg4FKAAAAAJ
Joelle Provasi,Ecole Pratique des Hautes Etudes,ephe.psl.eu,1013,Psychologie du développement,https://scholar.google.com/citations?hl=en&user=vqknrhoAAAAJ
Charles Stépanoff,Ecole pratique des hautes études,ephe.sorbonne.fr,606,Not Mentioned,https://scholar.google.com/citations?hl=en&user=busH8GQAAAAJ
Andrea Acri,"Ecole Pratique des Hautes Etudes (EPHE), PSL University, Paris",ephe.psl.eu,595,Hinduism | Buddhism | Tantra | Old Javanese | Sanskrit,https://scholar.google.com/citations?hl=en&user=4c0IXvwAAAAJ
Jean-Christophe Attias,"École pratique des hautes études, Université PSL",ephe.psl.eu,545,Jewish Studies,https://scholar.google.com/citations?hl=en&user=vJdu0twAAAAJ
Erwan Delrieu-Trottin,Ecole Pratique des Hautes Etudes,ephe.psl.eu,527,Biodiversity | Population genetics | Phylogeny | Conservation | Fishes,https://scholar.google.com/citations?hl=en&user=bwp0yn4AAAAJ
michel hochmann,"directeur d'études, Ecole pratique des Hautes Etudes",ephe.psl.eu,449,histoire de l'art | peinture vénitienne | Renaissance,https://scholar.google.com/citations?hl=en&user=9bSqqLwAAAAJ
Sébastien Couette,Ecole Pratique des Hautes Etudes & Biogéosciences,ephe.sorbonne.fr,321,morphological variation | geometric morphometrics | Primates,https://scholar.google.com/citations?hl=en&user=tzCqB6kAAAAJ
Sylvio De Franceschi,Ecole pratique des hautes études,ephe.psl.eu,284,Histoire,https://scholar.google.com/citations?hl=en&user=en6qES8AAAAJ
Özgür Türesay,Ecole pratique des Hautes études,ephe.sorbonne.fr,249,Ottoman history,https://scholar.google.com/citations?hl=en&user=am_uwYMAAAAJ
Antony HOSTEIN,Ecole Pratique des Hautes Etudes - PSL Université Paris,ephe.sorbonne.fr,210,Antiquité | Rome | Numismatique,https://scholar.google.com/citations?hl=en&user=ufuVbcsAAAAJ
Victor Brun,"Ecole Pratique des Hautes Etudes, UAR 3278 CRIOBE",etu.ephe.fr,168,Social-ecological systems | marine protected areas | fisheries,https://scholar.google.com/citations?hl=en&user=MDh0k3EAAAAJ
Antony Colombo,Ecole Pratique des Hautes Etudes,ephe.psl.eu,119,biological anthropology | paleopathology | bone microarchitecture | micro computed tomography,https://scholar.google.com/citations?hl=en&user=0dpUPT0AAAAJ
Appasamy Murugaiyan,"Ingénieur de recherche, Ecole Pratique des Hautes Etudes, Paris",ephe.sorbonne.fr,100,linguistique tamoule | linguistique historique | épigraphie tamoule | diaspora tamoule francophone,https://scholar.google.com/citations?hl=en&user=IaVvI0QAAAAJ
Nuria Martinez de Castilla / Nuria de Castilla,Ecole Pratique des Hautes Etudes,ephe.psl.eu,98,History of the book | Arabic manuscripts | Codicology and ecdotics | Mudéjares and Moriscos | Islamic West. Al-Andalus and Maghreb,https://scholar.google.com/citations?hl=en&user=0BlsXkoAAAAJ
Rosa Orlacchio,École Pratique des Hautes Études (EPHE) / Laboratoire de l'Intégration du Matériau au …,ephe.sorbonne.fr,52,Bioelectromagnetism Bioelectrics,https://scholar.google.com/citations?hl=en&user=SprTKCMAAAAJ
Guillaume Cathelain,Ecole Pratique des Hautes Etudes - Paris Sciences Lettres University,ephe.psl.eu,23,Signal processing | ballistocardiography,https://scholar.google.com/citations?hl=en&user=zHNySJ0AAAAJ
Diego Giordano,École pratique des hautes études,etu.ephe.fr,17,Filosofia,https://scholar.google.com/citations?hl=en&user=Bgp8fl8AAAAJ
Jérémie Bosom,Ecole Pratique des Hautes Etudes,ephe.sorbonne.fr,7,Computer Science | Machine Learning | Orchestration,https://scholar.google.com/citations?hl=en&user=vnS6OugAAAAJ
Vanessa Juloux,Ecole pratique des hautes études,ephe.sorbonne.fr,5,gender studies | ancient near east | e.philology | data mining | xml-tei,https://scholar.google.com/citations?hl=en&user=85lnAOwAAAAJ
Maryam alSayyed,PhD candidate at Ecole Pratique des Hautes Etudes,etu.ephe.fr,2,Philosophy | Islamic Philosophy | Ethics | Political Theory,https://scholar.google.com/citations?hl=en&user=vgTDICMAAAAJ
Iryna Lystopad,Ecole Pratique des hautes etudes,etu.ephe.fr,1,Not Mentioned,https://scholar.google.com/citations?hl=en&user=eORh8sAAAAAJ
Alberto Bernard,Ecole pratique des hautes études,ephe.sorbonne.fr,1,Ancient Iran | Classics | Roman History | Greek philology,https://scholar.google.com/citations?hl=en&user=Fre9h_8AAAAJ
Sharif Pablo Bujanda Viloria,École Pratique des Hautes Études,etu.ephe.fr,Not Mentioned,historia | historia antigua | historia de las religiones | teologia | medio oriente antiguo,https://scholar.google.com/citations?hl=en&user=-BXEysAAAAAJ
Marie-Véronique Amella,École Pratique des Hautes Études,etu.ephe.fr,Not Mentioned,Ethnologie | anthropologie,https://scholar.google.com/citations?hl=en&user=q6JENssAAAAJ
Baptiste Tochon-Danguy,"LEM - Ecole Pratique des Hautes Etudes, Paris",ephe.sorbonne.fr,Not Mentioned,Métaphysique | Philosophie de l'Art | Renaissance | Michel-Ange | Marsile Ficin,https://scholar.google.com/citations?hl=en&user=6wejFZcAAAAJ
Wojciech Baran,Ecole Pratique des Hautes Etudes,etu.ephe.fr,Not Mentioned,teologia dogmatyczna | antropologia teologiczna | filozofia średniowieczna | teologia średniowieczna | paleografia łacińska,https://scholar.google.com/citations?hl=en&user=IfYcwLkAAAAJ
